Epoch_UTC,0.3_Bin,0.5_Bin,1.0_Bin,2.5_Bin,5.0_Bin,10.0_Bin,PM_1.0_SP,PM_2.5_SP,PM_10.0_SP,PM_1.0_AM,PM_2.5_AM,PM_10.0_AM
1621527046.0721,714.0000,228.0000,39.0000,2.0000,1.0000,0.0000,4.0000,6.0000,6.0000,4.0000,6.0000,6.0000
1621527046.9811,714.0000,228.0000,39.0000,2.0000,1.0000,0.0000,4.0000,6.0000,6.0000,4.0000,6.0000,6.0000
1621527047.8191,714.0000,228.0000,39.0000,2.0000,1.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527048.6581,744.0000,235.0000,39.0000,2.0000,1.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527049.5661,744.0000,235.0000,39.0000,2.0000,1.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527050.4051,744.0000,235.0000,39.0000,2.0000,1.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527051.2441,717.0000,228.0000,35.0000,1.0000,0.0000,0.0000,4.0000,5.0000,5.0000,4.0000,5.0000,5.0000
1621527052.1521,717.0000,228.0000,35.0000,1.0000,0.0000,0.0000,4.0000,5.0000,5.0000,4.0000,5.0000,5.0000
1621527052.9911,717.0000,228.0000,35.0000,1.0000,0.0000,0.0000,4.0000,5.0000,5.0000,4.0000,5.0000,5.0000
1621527053.8291,660.0000,209.0000,32.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527054.7381,660.0000,209.0000,32.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527055.5761,660.0000,209.0000,32.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527056.4151,690.0000,219.0000,26.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527057.3231,690.0000,219.0000,26.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527058.1621,690.0000,219.0000,26.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527059.0001,684.0000,218.0000,28.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527059.9091,684.0000,218.0000,28.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527060.7471,684.0000,218.0000,28.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527061.5861,663.0000,211.0000,28.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527062.4941,663.0000,211.0000,28.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527063.3331,663.0000,211.0000,28.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527064.1721,690.0000,219.0000,30.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527065.0801,690.0000,219.0000,30.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527065.9191,690.0000,219.0000,30.0000,1.0000,0.0000,0.0000,3.0000,5.0000,5.0000,3.0000,5.0000,5.0000
1621527066.7571,714.0000,228.0000,30.0000,1.0000,0.0000,0.0000,4.0000,5.0000,5.0000,4.0000,5.0000,5.0000
1621527067.6661,714.0000,228.0000,30.0000,1.0000,0.0000,0.0000,4.0000,5.0000,5.0000,4.0000,5.0000,5.0000
1621527068.5041,714.0000,228.0000,30.0000,1.0000,0.0000,0.0000,4.0000,5.0000,5.0000,4.0000,5.0000,5.0000
1621527069.3431,702.0000,224.0000,34.0000,2.0000,0.0000,0.0000,4.0000,5.0000,5.0000,4.0000,5.0000,5.0000
1621527070.2511,702.0000,224.0000,34.0000,2.0000,0.0000,0.0000,4.0000,5.0000,5.0000,4.0000,5.0000,5.0000
1621527071.0901,702.0000,224.0000,34.0000,2.0000,0.0000,0.0000,4.0000,5.0000,5.0000,4.0000,5.0000,5.0000
